Application ID,Client,Full Name,Email,Application Date,Loan Amount Requested,Loan Purpose,Status,Denial Reason,Upload Links
reccY7SqVjmYQf4DO,recZ1MOtNdr8dA2uT,Charley Johnie,alexander.goldin+cjohnie@tripleten-team.com,4/20/2026 8:08am,$4000.00,Need to fix my kitchen. Will pay back in 4 months ,Rejected,,recI2cdscI2nBfFPb
recLDezg39srUoZrF,recJCDkohjPXkcA7B,Sandra Sollo,alexander.goldin+ssollo@tripleten-team.com,4/20/2026 8:38am,$3000.00,Need to fix my car,Rejected,"bad credit history
",recUWaLwkHnuwf97E
rec76uvJrQnxyCV08,recIlMuF3iSXTZ5mx,Anthony Klements,alexander.goldin+akle@tripleten-team.com,4/20/2026 8:47am,$5500.00,I need to buy a dimond,Rejected,"Requested loan amount ($5,500) exceeds the allowed maximum of $5,000 per loan policy.",
recUXoBEli6c9zGYA,reci03EbmMC4Jxg8P,Alexander Goldin,alexander.goldin+newapps@tripleten-team.com,4/20/2026 10:59am,$3000.00,I need to fix my car. I will pay back within 4 months. ,Under Review,,recbmRIDbEIwfnm2h
recPmmqK21MyFylFM,recElB4JeDtYqiChZ,Jessica Andrews,alexander.goldin+jandrews@tripleten-team.com,4/20/2026 11:09am,$7000.00,I want to buy a used car for my son ,Rejected,"Requested loan amount of $7,000 exceeds the allowable loan range of $200 to $5,000 per company policy.",
recDc02Pm0itQGa0p,recRVneyrVu6gUZSu,David Smith,xiolared+dv@gmail.com,4/20/2026 3:22pm,$1000.00,I need to pay the vet off so that my cat will come home ASAP. I can pay the loan back in 6 months.,Approved,,rec0YQcE2y0IapmOH
recbpihpr1IFeWLyk,recd4kSXMVSJO33uj,Barbara Boring,alexander.goldin+bb@tripleten-team.com,4/21/2026 4:17am,$3996.00,Need to fix my car.  Will pay back in 3 months ,Approved,,recsJiKLucFvfuiv9
recnvkfe1hlIrA0yK,recuLaf7yRXaBimPn,Michael Moore,alexander.goldin+mmoore@tripleten-team.com,4/21/2026 4:37am,$20000.00,I wanna buy a used car,Rejected,"Requested loan amount of $20,000 exceeds the allowable loan amount range of $200 to $5,000 per our lending policy.",
recabnxc7d5Z5oyDh,recTcPBWAKUDrBPaq,Benny Lancaster,xiolared+bl@gmail.com,4/21/2026 8:09am,$800.00,I need the money to pay for my cat surgery. He was hit by a car. I can pay the loan off in 8 months. ,Approved,,reczXxU8kOZpULU1B
rec72PLC7JTFODaQz,recSru4nlQneIhcKU,Henry Miller,xiolared+hm@gmail.com,4/21/2026 11:26am,$2500.00,I would like to buy some snow tires because they are on sale. I can pay back the loan in 9 months.,Approved,,recshBNFzAcYRF0DT
recXH0E8VnGb4Hk8l,reclN0hzVH5YQ0mLN,Jordan River,alexander.goldin+jriver@tripleten-team.com,4/21/2026 11:40am,$4000.00,need to fix my car ,Under Review,,recJXCNxrQWJhPjsZ
rechf5w78LBkJi88l,recOMFTy7gKzIRDTR,George Miles,alexander.goldin+gmiles@tripleten-team.com,4/21/2026 11:47am,$10000.00,want to buy a used car,Rejected,"Requested loan amount ($10,000) exceeds the program limit. Policy allows loans only between $200 and $5,000.",
recCB1TjuqE2vAgpd,recSru4nlQneIhcKU,Henry Miller,xiolared+hm@gmail.com,4/21/2026 12:18pm,$500.00,I need to pay a hospital bill. I can pay the loan back in 9 months. ,Under Review,,recwnUFiienN17ad8
reckzWZS4OjnbxKgb,recfiafue38amww2f,Melinda Rasolt,alexander.goldin@tripleten-team.com,4/26/2026 3:59pm,$2000.00,need to fox my car ,Documents Requested,,recN0eovNdM1UmJlm
