fileName,uploadId,fullName,Documents (from uploadLinkId),uploadLinkId,documentRequestId,fileSize,fileType,s3Key,s3Bucket,uploadedAt,download_url
Screenshot 2025-04-23 at 9.04.02 AM.png,rec0lho6q9ahro5Tr,,Proof of Income,reccwMax0zqctdbFZ,reculWwly5CFjcCdX,662154,image/png,uploads/recyE9kgGoXHSypRP/reccwMax0zqctdbFZ/b6638fe1-35d4-48fc-a976-d57057cab343-Screenshot_2025-04-23_at_9.04.02 AM.png,fox-finance-dev-fox-finance-uploads,3/14/2026 3:55pm,https://fox-finance-dev-fox-finance-uploads.s3.amazonaws.com/uploads/recyE9kgGoXHSypRP/reccwMax0zqctdbFZ/b6638fe1-35d4-48fc-a976-d57057cab343-Screenshot_2025-04-23_at_9.04.02%E2%80%AFAM.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIARTCUISOE62CEUPG3%2F20260314%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260314T205555Z&X-Amz-Expires=172800&X-Amz-SignedHeaders=host&X-Amz-Signature=c3fa47e54dc083982398f3803f332aecf4100c915b1a7e0f62f3a821c877a3cf
sf background.png,rec5gFUl8c3ijTYw1,,Proof of Income,recGQB0ON8e3vG2oD,rec6PWTW1ifNtLdo7,2449872,image/png,uploads/recGQlYplnnuz69YM/recGQB0ON8e3vG2oD/dc32a4a8-9aa8-48d1-b9c9-86e13e5b6007-sf_background.png,fox-finance-dev-fox-finance-uploads,3/25/2026 4:41pm,https://fox-finance-dev-fox-finance-uploads.s3.amazonaws.com/uploads/recGQlYplnnuz69YM/recGQB0ON8e3vG2oD/dc32a4a8-9aa8-48d1-b9c9-86e13e5b6007-sf_background.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIARTCUISOE62CEUPG3%2F20260325%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260325T214107Z&X-Amz-Expires=172800&X-Amz-SignedHeaders=host&X-Amz-Signature=3916b38e1be8f0ac77ed1bbb4c6b39e024824274456bb608f98bd39ffa5c525d
smartcity.webp,recV5e34GQVavislJ,,Proof of Identity,recGQB0ON8e3vG2oD,reci4HTyS3Xs4ktCW,125252,image/webp,uploads/recGQlYplnnuz69YM/recGQB0ON8e3vG2oD/88b01a80-0478-4fa6-a4ab-2a30fd854a4b-smartcity.webp,fox-finance-dev-fox-finance-uploads,3/25/2026 4:41pm,https://fox-finance-dev-fox-finance-uploads.s3.amazonaws.com/uploads/recGQlYplnnuz69YM/recGQB0ON8e3vG2oD/88b01a80-0478-4fa6-a4ab-2a30fd854a4b-smartcity.webp?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIARTCUISOE62CEUPG3%2F20260325%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260325T214109Z&X-Amz-Expires=172800&X-Amz-SignedHeaders=host&X-Amz-Signature=ba1feb98d946f2cc4ecd2f3d1a6d81fe83347c0b2c43ec86369912fcbf187b78
smartcity.webp,recU1cxa7tOaaNnRX,,Proof of Income,recGQB0ON8e3vG2oD,rec6PWTW1ifNtLdo7,125252,image/webp,uploads/recGQlYplnnuz69YM/recGQB0ON8e3vG2oD/beeec06b-181f-4021-ba52-251d8375ced4-smartcity.webp,fox-finance-dev-fox-finance-uploads,3/25/2026 4:43pm,https://fox-finance-dev-fox-finance-uploads.s3.amazonaws.com/uploads/recGQlYplnnuz69YM/recGQB0ON8e3vG2oD/beeec06b-181f-4021-ba52-251d8375ced4-smartcity.webp?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIARTCUISOE62CEUPG3%2F20260325%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260325T214351Z&X-Amz-Expires=172800&X-Amz-SignedHeaders=host&X-Amz-Signature=456034578b2e562e596e3b24b9994855b4d024f102dece5e75ffba7542d0db28
smartcity.jpeg,recrPgsPYVFqr15H3,,Proof of Identity,recGQB0ON8e3vG2oD,reci4HTyS3Xs4ktCW,40654,image/jpeg,uploads/recGQlYplnnuz69YM/recGQB0ON8e3vG2oD/66329b1c-9db1-44eb-bb47-58497c8d27cb-smartcity.jpeg,fox-finance-dev-fox-finance-uploads,3/25/2026 4:43pm,https://fox-finance-dev-fox-finance-uploads.s3.amazonaws.com/uploads/recGQlYplnnuz69YM/recGQB0ON8e3vG2oD/66329b1c-9db1-44eb-bb47-58497c8d27cb-smartcity.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIARTCUISOE62CEUPG3%2F20260325%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260325T214353Z&X-Amz-Expires=172800&X-Amz-SignedHeaders=host&X-Amz-Signature=22997d3f9fb07c947f392b1d0783c922e5979ae53a7747ea5a660cd93f2a90a4
Screenshot 2025-04-23 at 8.59.42 AM.png,recP6cawpYt1ycMpQ,,Confirmation of no active collections,recaeISJSNyoq7slw,recCgi0yAGPhXvpX5,2079343,image/png,uploads/rec1oou2pXTvI070E/recaeISJSNyoq7slw/f79c1aba-d80c-4f45-bc6a-e99fb5e1d14e-Screenshot_2025-04-23_at_8.59.42 AM.png,fox-finance-dev-fox-finance-uploads,3/30/2026 9:45am,https://fox-finance-dev-fox-finance-uploads.s3.amazonaws.com/uploads/rec1oou2pXTvI070E/recaeISJSNyoq7slw/f79c1aba-d80c-4f45-bc6a-e99fb5e1d14e-Screenshot_2025-04-23_at_8.59.42%E2%80%AFAM.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIARTCUISOE62CEUPG3%2F20260330%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260330T144559Z&X-Amz-Expires=172800&X-Amz-SignedHeaders=host&X-Amz-Signature=c25a4d42dac6d2782f7bc3764b16ce7b80a613020264fec079c7e598b984d7d4
Screenshot 2025-04-23 at 9.03.36 AM.png,rec8QijG8R2JPqU14,,Loan Purpose,recaeISJSNyoq7slw,recLQHMXiE6zn5E5s,1623037,image/png,uploads/rec1oou2pXTvI070E/recaeISJSNyoq7slw/6926e34a-4d16-4612-ac42-099ba56f993c-Screenshot_2025-04-23_at_9.03.36 AM.png,fox-finance-dev-fox-finance-uploads,3/30/2026 9:46am,https://fox-finance-dev-fox-finance-uploads.s3.amazonaws.com/uploads/rec1oou2pXTvI070E/recaeISJSNyoq7slw/6926e34a-4d16-4612-ac42-099ba56f993c-Screenshot_2025-04-23_at_9.03.36%E2%80%AFAM.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIARTCUISOE62CEUPG3%2F20260330%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260330T144601Z&X-Amz-Expires=172800&X-Amz-SignedHeaders=host&X-Amz-Signature=05a2a6cf1a1314d965aba2bceeed95cfd04c8f49a23a4c61fa5a6a9113e43378
Screenshot 2025-04-23 at 9.03.36 AM.png,recQbTYUVl84wbeUt,,Employer verification letter,recaeISJSNyoq7slw,recR6kR8QIg0AZeYj,1623037,image/png,uploads/rec1oou2pXTvI070E/recaeISJSNyoq7slw/3e60ae51-775c-4d5e-9754-22af134c622a-Screenshot_2025-04-23_at_9.03.36 AM.png,fox-finance-dev-fox-finance-uploads,3/30/2026 9:46am,https://fox-finance-dev-fox-finance-uploads.s3.amazonaws.com/uploads/rec1oou2pXTvI070E/recaeISJSNyoq7slw/3e60ae51-775c-4d5e-9754-22af134c622a-Screenshot_2025-04-23_at_9.03.36%E2%80%AFAM.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIARTCUISOE62CEUPG3%2F20260330%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260330T144603Z&X-Amz-Expires=172800&X-Amz-SignedHeaders=host&X-Amz-Signature=9f45cbc51c6493eed0ab82e1e8a7fd3a513e7af3258c51ceb816de37445649dc
Screenshot 2025-04-23 at 9.04.02 AM.png,recCQpaWE40z5FmqA,,Last 2-3 months of pay stubs,recaeISJSNyoq7slw,recUTYPxyDub6Ydp0,662154,image/png,uploads/rec1oou2pXTvI070E/recaeISJSNyoq7slw/da792982-54ab-4c1c-a82f-ef2b46500f07-Screenshot_2025-04-23_at_9.04.02 AM.png,fox-finance-dev-fox-finance-uploads,3/30/2026 9:46am,https://fox-finance-dev-fox-finance-uploads.s3.amazonaws.com/uploads/rec1oou2pXTvI070E/recaeISJSNyoq7slw/da792982-54ab-4c1c-a82f-ef2b46500f07-Screenshot_2025-04-23_at_9.04.02%E2%80%AFAM.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIARTCUISOE62CEUPG3%2F20260330%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260330T144605Z&X-Amz-Expires=172800&X-Amz-SignedHeaders=host&X-Amz-Signature=91d82e2fc9800a0e7b597941d8e20fc32a3be781476663b29b1b9c498aa31275
Screenshot 2025-04-23 at 9.03.36 AM.png,recLsKQNCUYKOA5GY,,Government-issued identification,recaeISJSNyoq7slw,recl90itGBWoyqkeY,1623037,image/png,uploads/rec1oou2pXTvI070E/recaeISJSNyoq7slw/e2553625-bd47-4435-8cd7-ce259d369924-Screenshot_2025-04-23_at_9.03.36 AM.png,fox-finance-dev-fox-finance-uploads,3/30/2026 9:46am,https://fox-finance-dev-fox-finance-uploads.s3.amazonaws.com/uploads/rec1oou2pXTvI070E/recaeISJSNyoq7slw/e2553625-bd47-4435-8cd7-ce259d369924-Screenshot_2025-04-23_at_9.03.36%E2%80%AFAM.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIARTCUISOE62CEUPG3%2F20260330%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260330T144607Z&X-Amz-Expires=172800&X-Amz-SignedHeaders=host&X-Amz-Signature=9c919d9164735e43cfb8466584538f72217a3a3f584551e3b3c74f9db28b0c20
Screenshot 2025-04-23 at 8.59.42 AM.png,recmuL6uylUMwHiT1,,Proof of active bank account,recaeISJSNyoq7slw,recyA37wJ9kP0TB3P,2079343,image/png,uploads/rec1oou2pXTvI070E/recaeISJSNyoq7slw/9ccae76b-3841-4ddd-b1d0-1630a255ca78-Screenshot_2025-04-23_at_8.59.42 AM.png,fox-finance-dev-fox-finance-uploads,3/30/2026 9:46am,https://fox-finance-dev-fox-finance-uploads.s3.amazonaws.com/uploads/rec1oou2pXTvI070E/recaeISJSNyoq7slw/9ccae76b-3841-4ddd-b1d0-1630a255ca78-Screenshot_2025-04-23_at_8.59.42%E2%80%AFAM.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIARTCUISOE62CEUPG3%2F20260330%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260330T144609Z&X-Amz-Expires=172800&X-Amz-SignedHeaders=host&X-Amz-Signature=f90491d470c36ecb1c00c85c3feb4ef0aa831c592cd33c0e81b728288e13ed99
Screenshot 2025-04-23 at 9.03.36 AM.png,recfffzTBnphmoiWL,,Loan Purpose,recaeISJSNyoq7slw,recLQHMXiE6zn5E5s,1623037,image/png,uploads/rec1oou2pXTvI070E/recaeISJSNyoq7slw/c9014e2d-606a-4449-9a1c-c9c56d32c980-Screenshot_2025-04-23_at_9.03.36 AM.png,fox-finance-dev-fox-finance-uploads,3/30/2026 12:06pm,https://fox-finance-dev-fox-finance-uploads.s3.amazonaws.com/uploads/rec1oou2pXTvI070E/recaeISJSNyoq7slw/c9014e2d-606a-4449-9a1c-c9c56d32c980-Screenshot_2025-04-23_at_9.03.36%E2%80%AFAM.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIARTCUISOE62CEUPG3%2F20260330%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260330T170626Z&X-Amz-Expires=172800&X-Amz-SignedHeaders=host&X-Amz-Signature=5d3a939ad421e3c383fef49c5f6b4cb9df3b0b9f191d6264a15330d873cada00
Screenshot 2025-04-23 at 9.01.42 AM.png,recw9m3gyjAPiFAqg,,Employer verification letter,recOtUwA1QUOvqgQt,recABROqi5imyJHwr,2089132,image/png,uploads/recOzWYEYWRc50OU2/recOtUwA1QUOvqgQt/01abdb23-664f-43f8-bdd2-82b3afff90c3-Screenshot_2025-04-23_at_9.01.42 AM.png,fox-finance-dev-fox-finance-uploads,3/31/2026 10:16am,https://fox-finance-dev-fox-finance-uploads.s3.amazonaws.com/uploads/recOzWYEYWRc50OU2/recOtUwA1QUOvqgQt/01abdb23-664f-43f8-bdd2-82b3afff90c3-Screenshot_2025-04-23_at_9.01.42%E2%80%AFAM.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIARTCUISOE62CEUPG3%2F20260331%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260331T151641Z&X-Amz-Expires=172800&X-Amz-SignedHeaders=host&X-Amz-Signature=a218cbfa6a2627293eeed42a22601e6d5a4966db8e84a1f83b28df8a9d256e1e
Screenshot 2025-04-23 at 9.04.02 AM.png,recUQYxuY9io2UUbD,,Government-issued identification,recOtUwA1QUOvqgQt,recRBdbCD7QqPE6OG,662154,image/png,uploads/recOzWYEYWRc50OU2/recOtUwA1QUOvqgQt/7185b4de-df58-4ea7-b8fb-adc798c51163-Screenshot_2025-04-23_at_9.04.02 AM.png,fox-finance-dev-fox-finance-uploads,3/31/2026 10:16am,https://fox-finance-dev-fox-finance-uploads.s3.amazonaws.com/uploads/recOzWYEYWRc50OU2/recOtUwA1QUOvqgQt/7185b4de-df58-4ea7-b8fb-adc798c51163-Screenshot_2025-04-23_at_9.04.02%E2%80%AFAM.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIARTCUISOE62CEUPG3%2F20260331%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260331T151643Z&X-Amz-Expires=172800&X-Amz-SignedHeaders=host&X-Amz-Signature=27abf185c8609a508eab6f1418422c43d11faf1895894001f09cb163a2b05616
Screenshot 2025-04-23 at 8.59.42 AM.png,recgToWsyr1thMANU,,Last 2-3 pay stubs,recOtUwA1QUOvqgQt,recjePj91K9LmIbrj,2079343,image/png,uploads/recOzWYEYWRc50OU2/recOtUwA1QUOvqgQt/9623541b-ecfe-4f37-96a5-99d621a87bc1-Screenshot_2025-04-23_at_8.59.42 AM.png,fox-finance-dev-fox-finance-uploads,3/31/2026 10:16am,https://fox-finance-dev-fox-finance-uploads.s3.amazonaws.com/uploads/recOzWYEYWRc50OU2/recOtUwA1QUOvqgQt/9623541b-ecfe-4f37-96a5-99d621a87bc1-Screenshot_2025-04-23_at_8.59.42%E2%80%AFAM.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIARTCUISOE62CEUPG3%2F20260331%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260331T151644Z&X-Amz-Expires=172800&X-Amz-SignedHeaders=host&X-Amz-Signature=ab828fda1d0c28eef373acb8bcc0fd9bb0335135d0db90fb6b602d6fb3354350
Screenshot 2025-04-23 at 8.59.42 AM.png,rec5g7GMPTB75ipIS,,Proof of Identity,recIv7WZkcif7cNaz,rec4Sd31orVQEIIfq,2079343,image/png,uploads/recDJ6H2T2s7JzD1J/recIv7WZkcif7cNaz/aa9f5e93-90ec-467a-abc2-6bfa099f4232-Screenshot_2025-04-23_at_8.59.42 AM.png,fox-finance-dev-fox-finance-uploads,4/1/2026 4:55pm,https://fox-finance-dev-fox-finance-uploads.s3.amazonaws.com/uploads/recDJ6H2T2s7JzD1J/recIv7WZkcif7cNaz/aa9f5e93-90ec-467a-abc2-6bfa099f4232-Screenshot_2025-04-23_at_8.59.42%E2%80%AFAM.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIARTCUISOE62CEUPG3%2F20260401%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260401T215541Z&X-Amz-Expires=172800&X-Amz-SignedHeaders=host&X-Amz-Signature=c154d833b600e0a91fc59cd84ac7ef9bbdc99499b7d2430c1b1a8f27d8abb5cf
Screenshot 2025-04-23 at 9.03.36 AM.png,recn0196Wvbcfgg43,,Proof of Income,recIv7WZkcif7cNaz,recZKNH72QDQTYwG5,1623037,image/png,uploads/recDJ6H2T2s7JzD1J/recIv7WZkcif7cNaz/26520870-850a-4f3f-8c11-25e494c1145d-Screenshot_2025-04-23_at_9.03.36 AM.png,fox-finance-dev-fox-finance-uploads,4/1/2026 4:55pm,https://fox-finance-dev-fox-finance-uploads.s3.amazonaws.com/uploads/recDJ6H2T2s7JzD1J/recIv7WZkcif7cNaz/26520870-850a-4f3f-8c11-25e494c1145d-Screenshot_2025-04-23_at_9.03.36%E2%80%AFAM.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIARTCUISOE62CEUPG3%2F20260401%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260401T215543Z&X-Amz-Expires=172800&X-Amz-SignedHeaders=host&X-Amz-Signature=558ea14a5ba42cb417b54b67d062831a434234037c8ebde10569e2e0f4c88357
Screenshot 2025-04-23 at 9.04.02 AM.png,rec5bnGko6J1Nugos,,Proof of Address,recIv7WZkcif7cNaz,recwShK0ryLYRFuPR,662154,image/png,uploads/recDJ6H2T2s7JzD1J/recIv7WZkcif7cNaz/2c8099a6-5fe1-4646-9c5c-0f8cd0c28804-Screenshot_2025-04-23_at_9.04.02 AM.png,fox-finance-dev-fox-finance-uploads,4/1/2026 4:55pm,https://fox-finance-dev-fox-finance-uploads.s3.amazonaws.com/uploads/recDJ6H2T2s7JzD1J/recIv7WZkcif7cNaz/2c8099a6-5fe1-4646-9c5c-0f8cd0c28804-Screenshot_2025-04-23_at_9.04.02%E2%80%AFAM.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIARTCUISOE62CEUPG3%2F20260401%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260401T215544Z&X-Amz-Expires=172800&X-Amz-SignedHeaders=host&X-Amz-Signature=743283858baab5175f8cad3b1e44e66cb99d37126ad61e4e03b26c648af307bc
Screenshot 2025-04-23 at 8.59.42 AM.png,recSERcZ8Fly4Dami,,Proof of Income,recIv7WZkcif7cNaz,recZKNH72QDQTYwG5,2079343,image/png,uploads/recDJ6H2T2s7JzD1J/recIv7WZkcif7cNaz/4a88947d-34e0-4f65-b462-789b48c603f9-Screenshot_2025-04-23_at_8.59.42 AM.png,fox-finance-dev-fox-finance-uploads,4/1/2026 5:17pm,https://fox-finance-dev-fox-finance-uploads.s3.amazonaws.com/uploads/recDJ6H2T2s7JzD1J/recIv7WZkcif7cNaz/4a88947d-34e0-4f65-b462-789b48c603f9-Screenshot_2025-04-23_at_8.59.42%E2%80%AFAM.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIARTCUISOE62CEUPG3%2F20260401%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260401T221719Z&X-Amz-Expires=172800&X-Amz-SignedHeaders=host&X-Amz-Signature=da66dfb46c75c5efd66c1da7b15094e1e16948c1fca2aa20ab5627728259ad37
